employId,studentId,companyName,position,salary,startDate,endDate,nationality,destination
E963644,S792938,Intel,Plumber,82749,2019-10-12,2025-10-26,Greece,2
E260649,S233459,UniversityofTexasatAustin,IndustrialDesigner,62400,2022-07-25,2024-06-11,Czechia,0
E896381,S206248,Sony,HVACTechnician,60994,2022-08-18,2025-08-07,Cyprus,0
E362558,S538503,Hewlett-Packard(HP),Librarian,67964,2022-10-09,2023-05-22,Egypt,2
E399220,S257788,Alibaba,OperationsManager,77430,2022-11-22,2023-03-24,France,2
E130816,S407506,IKEA,Pharmacist,78950,2021-01-18,2025-03-30,Gambia,2
E529977,S459677,Airbus,PoliceOfficer,83953,2020-08-11,2024-12-19,Grenada,2
E811659,S723582,Vodafone,Dentist,43724,2019-12-15,2025-04-24,Burundi,0
E518929,S810094,Audi,Paramedic,77737,2019-01-25,2024-02-04,Gabon,2
E340151,S610602,Audi,Pilot,82136,2018-11-20,2024-04-25,Ghana,2
E309710,S268481,BostonUniversity,ITSupportSpecialist,62952,2022-07-29,2025-04-16,Denmark,2
E813304,S406808,Siemens,FlightAttendant,54795,2018-09-28,2025-01-10,Congo(DemocraticRepublic),1
E192650,S760939,CarnegieMellonUniversity,ITSupportSpecialist,63087,2018-02-05,2025-04-06,Denmark,0
E236275,S444076,SAP,Electrician,49534,2019-12-12,2025-07-17,CentralAfricanRepublic,1
E795934,S833461,DukeUniversity,HRManager,59858,2020-05-14,2025-02-19,Cuba,1
E210493,S692393,Samsung,IndustrialDesigner,62480,2021-09-19,2023-09-16,Czechia,2
E757608,S793739,UniversityofWisconsin-Madison,FlightAttendant,54867,2021-03-14,2025-02-09,Congo(DemocraticRepublic),2
E530351,S470125,Airbus,Mechanic,71790,2020-11-29,2024-09-20,Estonia,2
E396485,S594635,Philips,SocialWorker,93131,2022-03-13,2024-11-09,India,1
E445665,S40602,Accenture,Electrician,49056,2018-01-21,2025-06-22,CentralAfricanRepublic,2
E341494,S355972,Tencent,ITSupportSpecialist,62860,2020-06-23,2025-12-07,Denmark,2
E612639,S928735,Toshiba,Plumber,83374,2018-08-25,2024-12-26,Greece,0
E95534,S855755,Coca-Cola,Electrician,49473,2021-08-13,2024-06-16,CentralAfricanRepublic,0
E671875,S564023,Coca-Cola,Microbiologist,73534,2020-07-25,2024-02-23,Eswatini,0
E798391,S218052,Santander,OperationsManager,77065,2019-05-21,2025-02-22,France,1
E345996,S734213,Toshiba,HRManager,59790,2019-06-01,2025-10-27,Cuba,0
E464469,S968633,Philips,DigitalMarketer,46356,2018-05-12,2025-09-01,Cambodia,1
E546742,S815430,DHL,PoliceOfficer,83690,2019-01-26,2023-02-04,Grenada,1
E430122,S300277,UniversityofBritishColumbia(UBC),FlightAttendant,55386,2018-12-31,2023-09-12,Congo(DemocraticRepublic),1
E654837,S948050,Philips,PhysicalTherapist,81349,2020-08-15,2023-01-17,Germany,1
E24622,S629133,SolsticeFoundry,LawEnforcementOfficer,67216,2021-03-09,2025-01-03,Ecuador,0
E50876,S721818,Tencent,Mechanic,72043,2022-04-19,2024-04-28,Estonia,2
E616023,S978683,CornellUniversity,DataAnalyst,42120,2018-01-22,2025-08-29,Bulgaria,1
E701756,S213002,PepsiCo,Farmer,51523,2019-10-05,2025-10-05,Chile,1
E444800,S959311,Airbus,MachineOperator,69892,2020-07-27,2025-01-14,EquatorialGuinea,2
E988915,S856770,Pfizer,HVACTechnician,61036,2020-09-07,2023-05-07,Cyprus,2
E674121,S468659,Coca-Cola,ProjectManager,85931,2022-01-20,2023-12-14,Guinea,0
E401585,S904121,BostonUniversity,DataScientist,43583,2022-08-04,2023-01-26,BurkinaFaso,2
E927542,S417765,UniversityofSouthernCalifornia(USC),ContentCreator,38852,2018-07-23,2023-12-30,Botswana,1
E580882,S526145,LG,ClinicalPsychologist,36786,2021-06-19,2023-12-23,Bolivia,0
E318260,S584940,LG,Pilot,82465,2018-04-13,2024-12-13,Ghana,0
E868489,S101187,Mercedes-Benz,MarketingManager,71365,2020-05-28,2025-04-28,Eritrea,0
E418875,S109651,Pfizer,FlightAttendant,55283,2021-01-21,2024-02-17,Congo(DemocraticRepublic),2
E880185,S635257,NewYorkUniversity(NYU),CustomerServiceRepresentative,40660,2021-04-26,2024-02-25,Brunei,0
E519946,S36482,Philips,FlightAttendant,54946,2018-08-20,2023-06-18,Congo(DemocraticRepublic),1
E850492,S568240,Panasonic,OccupationalTherapist,76487,2022-07-19,2024-10-30,Finland,0
E8971,S602400,Tencent,PoliceOfficer,83825,2020-09-22,2025-08-01,Grenada,2
E707816,S70633,Canon,DroneOperator,48543,2020-09-05,2024-01-24,Canada,1
E923431,S770303,IKEA,MachineOperator,70202,2018-08-29,2023-02-07,EquatorialGuinea,2
E297886,S759528,UniversityofWashington,DroneOperator,48458,2018-05-07,2025-02-06,Canada,2
E617285,S130156,Intel,GameDeveloper,58273,2019-11-12,2025-10-26,Côted'Ivoire,2
E719568,S407466,HSBC,Nurse,75395,2020-12-28,2025-05-10,Fiji,1
E776059,S617036,BMW,Firefighter,53774,2018-09-02,2024-04-03,Comoros,1
E302787,S473415,LG,Musician,74436,2021-08-30,2024-05-30,Ethiopia,0
E684211,S321594,Hewlett-Packard(HP),Pharmacist,79072,2020-06-26,2025-08-28,Gambia,2
E265504,S340533,LG,FinancialAdvisor,52945,2021-05-10,2023-06-11,Colombia,0
E518908,S923149,Novartis,Paramedic,77820,2020-06-10,2024-08-16,Gabon,0
E587311,S610806,Sony,RetailSalesAssociate,89022,2021-04-04,2023-06-21,Haiti,0
E843639,S822543,Hitachi,ResearchScientist,88550,2021-03-10,2024-08-21,Guyana,1
E154609,S187663,UniversityofCaliforniaLosAngeles(UCLA),FinancialAdvisor,53570,2019-11-01,2023-03-02,Colombia,1
E492936,S624704,McGillUniversity,FinancialAdvisor,53372,2020-05-12,2024-01-31,Colombia,2
E349711,S799574,Intel,CivilEngineer,35211,2022-02-03,2023-07-15,Benin,2
E894556,S841437,Mercedes-Benz,ResearchScientist,88521,2018-01-22,2024-11-14,Guyana,0
E577279,S343631,Nike,Electrician,48891,2020-12-30,2024-02-28,CentralAfricanRepublic,0
E652477,S394600,Intel,Mechanic,72084,2022-02-16,2024-10-12,Estonia,2
E675896,S416555,Mitsubishi,Librarian,68507,2018-02-20,2025-06-30,Egypt,2
E22330,S766962,IKEA,ITSupportSpecialist,62800,2021-01-22,2023-02-07,Denmark,2
E555796,S52325,Siemens,PhysicalTherapist,80987,2022-10-01,2023-03-12,Germany,2
E749478,S405069,UniversityofSouthernCalifornia(USC),Florist,55666,2021-11-24,2023-12-10,Congo(Republic),1
E748690,S423766,Canon,Dentist,44538,2019-01-25,2024-03-12,Burundi,1
E481403,S33607,PepsiCo,Plumber,83508,2022-08-08,2025-04-26,Greece,1
E983043,S738652,NewYorkUniversity(NYU),LogisticsManager,68960,2019-07-03,2024-09-12,ElSalvador,0
E267869,S444076,SAP,Electrician,49534,2018-07-18,2025-08-17,CentralAfricanRepublic,1
E541379,S358083,Hyundai,FinancialAdvisor,53008,2022-01-04,2023-09-18,Colombia,2
E543332,S222118,Nike,CustomerServiceRepresentative,41331,2018-11-15,2025-11-19,Brunei,0
E698542,S263978,SAP,Farmer,50977,2022-10-09,2025-03-30,Chile,1
E735249,S926997,LG,Copywriter,40453,2018-04-28,2024-06-09,Brazil,0
E764919,S890016,Pfizer,Firefighter,54163,2019-09-17,2023-03-18,Comoros,2
E817352,S960966,Siemens,Pilot,81681,2018-06-23,2023-05-14,Ghana,2
E43552,S448903,Barclays,OccupationalTherapist,75715,2018-08-10,2024-05-12,Finland,0
E74042,S406240,Philips,RealEstateAgent,87619,2020-11-15,2024-10-09,Guinea-Bissau,1
E768180,S419330,Barclays,RoboticsEngineer,89749,2019-03-25,2023-03-31,Honduras,0
E873993,S286589,Mitsubishi,PhysicalTherapist,81172,2021-11-14,2024-01-14,Germany,2
E951223,S436238,Huawei,Photographer,80226,2019-05-02,2023-03-02,Georgia,1
E694280,S323034,Boeing,LawEnforcementOfficer,67276,2021-07-17,2023-05-07,Ecuador,0
E727510,S214779,CornellUniversity,DataAnalyst,42120,2018-09-13,2025-11-24,Bulgaria,1
E265601,S176853,Vodafone,ResearchScientist,88523,2020-08-14,2023-07-06,Guyana,0
E685320,S110524,DHL,Librarian,67705,2022-11-04,2025-07-15,Egypt,1
E508824,S522143,Boeing,Landscaper,65744,2020-12-27,2025-08-21,DominicanRepublic,0
E466147,S291256,Barclays,DroneOperator,48416,2018-03-12,2025-01-02,Canada,0
E282664,S801577,LG,LabTechnician,64886,2022-06-03,2024-07-17,Dominica,0
E189647,S816607,UniversityofWisconsin-Madison,FlightAttendant,55400,2018-12-02,2023-12-03,Congo(DemocraticRepublic),2
E518447,S412923,Pfizer,Mechanic,72372,2022-11-01,2023-08-06,Estonia,2
E606428,S348475,Pfizer,LogisticsManager,69592,2022-12-25,2023-07-27,ElSalvador,2
E224742,S7291,PepsiCo,Paramedic,78107,2021-06-23,2024-01-29,Gabon,1
E960550,S780663,McGillUniversity,DroneOperator,47680,2018-11-01,2025-05-09,Canada,2
E751705,S898091,IKEA,Musician,74044,2019-01-22,2025-04-23,Ethiopia,2
E229678,S625019,UniversityofMichigan,Doctor/Physician,47312,2018-10-19,2023-07-02,Cameroon,0
E840325,S277728,Tencent,Plumber,83371,2022-12-26,2024-05-08,Greece,2
E296029,S816068,Siemens,Pilot,82399,2022-08-16,2025-05-20,Ghana,1
E892303,S332285,Nissan,Florist,55703,2022-10-21,2023-12-26,Congo(Republic),1
E825917,S121416,ZenithPulseMedia,Nurse,75074,2019-07-31,2024-08-28,Fiji,2
E801827,S69059,NorthwesternUniversity,Paramedic,78023,2018-07-25,2025-05-15,Gabon,2
E392251,S482972,Lenovo,PoliceOfficer,84622,2022-04-08,2023-04-29,Grenada,1
E249560,S337719,Hewlett-Packard(HP),Pharmacist,79419,2020-02-17,2023-07-01,Gambia,2
E526101,S764374,Nike,Electrician,49425,2020-03-10,2023-08-01,CentralAfricanRepublic,0
E978342,S656029,ZenithPulseMedia,Musician,73776,2018-12-23,2023-08-11,Ethiopia,2
E293073,S290938,Nike,Electrician,49194,2021-01-25,2024-11-02,CentralAfricanRepublic,0
E835482,S15098,Siemens,Firefighter,54480,2019-03-27,2025-12-30,Comoros,1
E723742,S330662,Siemens,Plumber,83572,2021-06-07,2023-09-25,Greece,1
E598464,S89998,Samsung,GraphicDesigner,59409,2019-03-11,2024-03-26,Croatia,2
E397402,S82353,Hitachi,MachineOperator,70436,2022-12-06,2025-02-26,EquatorialGuinea,1
E266708,S688140,DukeUniversity,Librarian,67794,2018-03-10,2023-08-12,Egypt,1
E756355,S999084,Intel,FreelanceWriter,57083,2020-09-16,2023-07-15,CostaRica,2
E446892,S738627,Novartis,Journalist,63648,2020-07-12,2023-03-25,Djibouti,0
E674906,S305598,DHL,Dentist,43664,2021-12-10,2025-12-31,Burundi,1
E460866,S73857,SAP,HVACTechnician,61133,2022-03-18,2025-03-11,Cyprus,1
E187987,S193122,DHL,HRManager,59808,2022-10-18,2024-08-24,Cuba,1
E364464,S473489,UniversityofMichigan,FreelanceWriter,57540,2022-09-20,2024-08-16,CostaRica,0
E884800,S715962,Philips,PhysicalTherapist,81610,2022-10-09,2024-08-12,Germany,1
E720902,S110863,Audi,Copywriter,39746,2020-10-01,2024-06-23,Brazil,2
E748319,S872898,Airbus,Journalist,64340,2018-07-01,2024-10-28,Djibouti,2
E524073,S260259,IKEA,SocialWorker,93385,2021-01-05,2023-01-12,India,2
E552107,S112501,Philips,Pharmacist,79520,2018-12-13,2024-06-10,Gambia,1
E168498,S460840,Siemens,SocialMediaManager,92014,2022-12-31,2025-05-04,Iceland,1
E902297,S650247,Novartis,FilmDirector,52041,2022-11-23,2024-10-15,China,0
E894942,S45630,Airbus,Florist,55774,2020-12-24,2024-10-12,Congo(Republic),2
E550320,S710252,EchelonDynamics,OccupationalTherapist,76602,2022-08-24,2025-09-05,Finland,0
E538723,S309475,DHL,PoliticalScientist,85258,2020-12-06,2025-11-03,Guatemala,1
E896312,S398545,Barclays,FilmDirector,52410,2018-08-11,2025-04-05,China,0
E893507,S712412,Accenture,Mechanic,72331,2019-04-22,2024-09-19,Estonia,2
E638542,S580731,Vodafone,ChemicalEngineer,34356,2019-04-28,2024-12-26,Belize,0
E889109,S549037,IKEA,Copywriter,39822,2019-08-24,2024-05-22,Brazil,2
E638886,S344738,Philips,FilmDirector,52540,2019-07-18,2024-02-09,China,1
E411166,S895315,Sony,PhysicalTherapist,81608,2020-01-08,2025-02-19,Germany,0
E26519,S355677,JohnsHopkinsUniversity,DroneOperator,47863,2020-10-12,2024-12-04,Canada,2
E845443,S995905,NorthwesternUniversity,Mechanic,71729,2020-08-22,2025-12-27,Estonia,2
E381650,S434004,LG,ConstructionWorker,38023,2020-02-23,2024-05-14,BosniaandHerzegovina,0
E660832,S934452,Canon,Dentist,43629,2021-07-03,2023-02-03,Burundi,1
E726626,S706396,Vodafone,FinancialAdvisor,53197,2021-11-21,2024-06-11,Colombia,0
E666330,S614351,CarnegieMellonUniversity,Microbiologist,73407,2021-04-10,2023-01-12,Eswatini,0
E982169,S645018,UniversityofWashington,IndustrialDesigner,61988,2022-04-07,2025-01-09,Czechia,2
E133793,S423900,UniversityofPennsylvania,Landscaper,65635,2018-11-10,2025-05-03,DominicanRepublic,0
E490076,S146887,Mercedes-Benz,Florist,56013,2022-05-06,2023-06-03,Congo(Republic),0
E260352,S956778,Hyundai,FinancialAdvisor,53051,2020-09-27,2024-08-12,Colombia,2
E321494,S244035,UniversityofVirginia,DigitalMarketer,46169,2022-05-26,2024-07-23,Cambodia,1
E456134,S58711,Boeing,PhysicalTherapist,80835,2020-01-23,2024-12-22,Germany,0
E826336,S78404,CarnegieMellonUniversity,FilmDirector,51788,2020-06-03,2023-03-30,China,0
E497917,S302381,IKEA,Firefighter,53752,2020-12-05,2024-05-03,Comoros,2
E872726,S857620,Intel,DigitalMarketer,45705,2020-01-19,2025-02-20,Cambodia,2
E764452,S126714,Hyundai,CivilEngineer,35199,2019-08-18,2023-05-18,Benin,2
E192586,S100120,UniversityofIllinoisUrbana-Champaign,IndustrialDesigner,62252,2019-07-03,2024-04-11,Czechia,1
E585727,S82263,Hitachi,ITSupportSpecialist,63456,2019-02-27,2023-03-04,Denmark,1
E452320,S920354,BYD,Librarian,67922,2021-12-04,2023-02-06,Egypt,1
E824516,S645133,Canon,LogisticsManager,68854,2019-08-28,2024-11-12,ElSalvador,1
E336995,S545827,Mercedes-Benz,Paramedic,78493,2019-09-09,2024-05-02,Gabon,0
E934988,S390619,JohnsHopkinsUniversity,CustomerServiceRepresentative,41175,2019-05-01,2024-05-04,Brunei,2
E377451,S699474,Mitsubishi,PoliticalScientist,85187,2020-05-01,2024-06-26,Guatemala,2
E982799,S233961,Airbus,OccupationalTherapist,76281,2018-05-01,2025-08-24,Finland,2
E760436,S119994,Coca-Cola,GameDeveloper,58069,2018-12-15,2023-02-19,Côted'Ivoire,0
E803471,S922447,Philips,CustomerServiceRepresentative,40939,2019-05-03,2023-01-02,Brunei,1
E152681,S46817,BostonUniversity,FlightAttendant,54911,2019-10-20,2025-11-24,Congo(DemocraticRepublic),2
E401470,S208052,Canon,RoboticsEngineer,89775,2022-04-08,2024-03-19,Honduras,1
E50877,S58328,Airbus,Landscaper,65644,2022-04-15,2024-04-09,DominicanRepublic,2
E339143,S306690,Mitsubishi,Journalist,64464,2021-01-01,2023-07-30,Djibouti,2
E244799,S796283,DHL,Mechanic,71654,2019-04-26,2025-07-17,Estonia,1
E393940,S385202,Boeing,Photographer,80492,2022-03-26,2023-04-04,Georgia,0
E319651,S363923,UniversityofVirginia,ConstructionWorker,38466,2020-06-15,2024-04-07,BosniaandHerzegovina,1
E394491,S803075,UniversityofVirginia,HRManager,59998,2021-10-23,2025-11-08,Cuba,1
E144893,S733217,Coca-Cola,LogisticsManager,69242,2020-10-05,2023-01-05,ElSalvador,0
E24406,S745030,Philips,Electrician,48666,2020-10-13,2025-07-20,CentralAfricanRepublic,1
E353831,S979730,Boeing,SoftwareDeveloper,93702,2022-07-20,2025-05-03,Indonesia,0
E272569,S712352,UniversityofPennsylvania,MarketingManager,71584,2020-03-06,2025-03-14,Eritrea,0
E77071,S796008,UniversityofManchester,ProjectManager,86017,2019-08-03,2025-03-21,Guinea,2
E682862,S694301,UniversityofCaliforniaLosAngeles(UCLA),FlightAttendant,55531,2021-10-21,2023-10-30,Congo(DemocraticRepublic),1
E927882,S321594,Hewlett-Packard(HP),Pharmacist,79072,2022-04-10,2024-11-26,Gambia,2
E641225,S837696,Mercedes-Benz,Florist,56013,2018-02-04,2024-04-01,Congo(Republic),0
E111525,S907895,PepsiCo,Microbiologist,73583,2022-06-26,2024-01-08,Eswatini,1
E397816,S377359,Vodafone,MachineOperator,70448,2018-01-29,2025-01-18,EquatorialGuinea,0
E315612,S285070,NorthwesternUniversity,Firefighter,54121,2018-03-17,2025-01-21,Comoros,2
E433818,S4489,Airbus,RealEstateAgent,87077,2021-02-24,2024-12-01,Guinea-Bissau,2
E581286,S893488,UniversityofMichigan,EventPlanner,49838,2018-08-13,2024-10-29,Chad,0
E535999,S637102,Philips,LawEnforcementOfficer,67615,2021-09-23,2025-01-30,Ecuador,1
E253347,S480400,Siemens,MarketingManager,70994,2021-07-11,2025-10-19,Eritrea,2
E758156,S551341,IKEA,LawEnforcementOfficer,67065,2018-05-08,2023-05-24,Ecuador,2
E405850,S769875,UniversityofWarwick,Pharmacist,79558,2020-03-29,2024-04-24,Gambia,0
E54288,S156031,UniversityofCaliforniaLosAngeles(UCLA),LabTechnician,64873,2021-01-16,2023-08-15,Dominica,1
E599526,S912524,Samsung,Paramedic,78395,2019-06-04,2023-03-09,Gabon,2
E898929,S34928,Airbus,PhysicalTherapist,81040,2020-07-04,2023-06-22,Germany,2
E790582,S253231,UniversityofWashington,FreelanceWriter,57200,2019-03-21,2024-12-25,CostaRica,2
E162057,S663635,UniversityofMichigan,Librarian,68504,2022-02-12,2023-01-06,Egypt,0
E472099,S423968,Siemens,DroneOperator,47779,2019-10-08,2024-08-05,Canada,1
E846460,S520269,Boeing,Pharmacist,78993,2020-04-14,2023-08-23,Gambia,0
E974214,S381376,Intel,DataAnalyst,42575,2020-11-10,2023-08-03,Bulgaria,2
E910772,S946511,DHL,ITSupportSpecialist,63257,2020-02-01,2024-05-11,Denmark,1
E550652,S435275,Mitsubishi,Farmer,51137,2022-02-25,2023-10-25,Chile,2
E951550,S467908,UniversityofCaliforniaLosAngeles(UCLA),ClinicalPsychologist,37460,2018-04-02,2024-02-08,Bolivia,1
E287127,S214046,SAP,FilmDirector,51710,2018-06-26,2023-11-23,China,1
E415407,S42174,Coca-Cola,Florist,55813,2018-03-26,2024-06-03,Congo(Republic),0
E3239,S954319,NewYorkUniversity(NYU),Doctor/Physician,47234,2021-04-29,2024-07-29,Cameroon,0
E113761,S883291,Santander,FreelanceWriter,56871,2020-09-08,2025-05-18,CostaRica,1
E4223,S482400,IKEA,DataAnalyst,41912,2022-01-06,2024-06-25,Bulgaria,2
E748474,S394045,PepsiCo,Pharmacist,79166,2022-06-03,2023-08-22,Gambia,1
E374819,S800058,CornellUniversity,Dentist,44257,2019-08-22,2025-03-31,Burundi,1
E121376,S873460,BYD,Electrician,49568,2022-05-17,2023-12-21,CentralAfricanRepublic,1
E933963,S419330,Barclays,RoboticsEngineer,89749,2021-02-10,2025-03-19,Honduras,0
E537762,S951569,HSBC,IndustrialDesigner,62044,2020-01-07,2025-06-29,Czechia,1
E883371,S512522,IKEA,Pharmacist,79616,2021-06-04,2024-06-02,Gambia,2
E400615,S157831,Nissan,Paramedic,78220,2022-01-22,2024-01-13,Gabon,1
E24500,S370313,Siemens,ResearchScientist,88536,2021-08-12,2025-08-26,Guyana,2
E631326,S282045,BostonUniversity,Dietitian/Nutritionist,44657,2020-03-20,2023-06-22,CaboVerde,2
E721842,S903276,Hyundai,Photographer,80109,2019-05-21,2024-11-01,Georgia,2
E553281,S645721,Nike,Photographer,80533,2022-12-18,2025-01-03,Georgia,0
E825830,S712915,UniversityofTexasatAustin,Florist,56048,2018-07-14,2023-06-02,Congo(Republic),0
E689075,S631395,HSBC,MarketingManager,70921,2019-04-30,2025-01-31,Eritrea,1
E592523,S695113,Siemens,LogisticsManager,69229,2021-05-25,2023-10-07,ElSalvador,2
E229647,S117915,Coca-Cola,Librarian,68479,2021-06-11,2025-01-30,Egypt,0
E230740,S850987,Vodafone,Landscaper,66487,2019-02-21,2023-02-01,DominicanRepublic,0
E415744,S455696,Siemens,PoliceOfficer,83789,2022-07-07,2023-05-01,Grenada,2
E475325,S350641,Santander,Journalist,63760,2020-02-18,2023-10-16,Djibouti,1
E321541,S820452,Vodafone,HRManager,60000,2022-09-07,2024-03-20,Cuba,0
E924499,S730762,Siemens,Cleaner,36572,2021-05-06,2025-12-19,Bhutan,1
E147621,S463329,HSBC,PoliticalScientist,85473,2018-09-24,2024-04-11,Guatemala,1
E708573,S555065,CarnegieMellonUniversity,Copywriter,39861,2021-01-06,2025-11-21,Brazil,0
E155020,S246022,Philips,PoliticalScientist,84823,2022-02-22,2023-09-18,Guatemala,1
E587886,S573582,Siemens,RealEstateAgent,87595,2021-06-26,2023-01-12,Guinea-Bissau,2
E500835,S841810,Philips,RetailSalesAssociate,89675,2022-04-28,2024-10-05,Haiti,1
E834803,S54554,Santander,RoboticsEngineer,90114,2019-04-19,2025-06-19,Honduras,1
E453171,S788627,Coca-Cola,Journalist,64374,2021-09-26,2024-02-07,Djibouti,0
E740754,S744421,PepsiCo,HRManager,60254,2018-06-24,2024-03-16,Cuba,1
E335927,S274508,Barclays,ConstructionWorker,38250,2022-04-16,2025-04-14,BosniaandHerzegovina,0
E389793,S899432,UniversityofBritishColumbia(UBC),IndustrialDesigner,61881,2019-06-21,2025-06-29,Czechia,1
E508955,S162974,Santander,Florist,55683,2019-12-09,2025-04-30,Congo(Republic),1
E958209,S932919,UniversityofIllinoisUrbana-Champaign,Firefighter,54177,2018-11-20,2023-03-19,Comoros,1
E343373,S884611,Siemens,DroneOperator,47637,2019-04-25,2024-10-29,Canada,1
E39505,S60034,Airbus,LogisticsManager,69290,2020-12-05,2024-11-15,ElSalvador,2
E760758,S425794,SAP,CivilEngineer,35197,2022-05-16,2023-09-20,Benin,1
E571394,S904550,Tencent,Pharmacist,79478,2019-06-22,2025-10-02,Gambia,2
E385730,S557438,LG,ClinicalPsychologist,36971,2022-04-12,2024-03-05,Bolivia,0
E864135,S20687,OnyxMarineSolutions,OccupationalTherapist,76224,2019-11-27,2024-02-07,Finland,1
E993827,S331494,Santander,Paramedic,78132,2022-02-05,2024-01-20,Gabon,1
E636213,S428666,Accenture,HVACTechnician,60829,2022-09-10,2023-11-17,Cyprus,2
E750264,S320054,DHL,LawEnforcementOfficer,66813,2019-11-10,2024-02-29,Ecuador,1
E142148,S620263,UniversityofNorthCarolinaatChapelHill,Landscaper,66482,2018-08-29,2023-10-07,DominicanRepublic,0
E390731,S990312,UniversityofNorthCarolinaatChapelHill,EventPlanner,50548,2022-06-06,2024-04-05,Chad,0
E473952,S155820,OnyxMarineSolutions,Landscaper,66055,2020-06-09,2025-12-08,DominicanRepublic,1
E906832,S103643,Barclays,FilmDirector,51912,2020-08-06,2023-12-17,China,0
E900194,S628126,UniversityofWashington,DataAnalyst,42386,2020-01-29,2025-03-28,Bulgaria,2
E689333,S435726,Novartis,LawEnforcementOfficer,67297,2020-02-24,2025-05-15,Ecuador,0
E111813,S965238,Sony,Firefighter,53693,2018-11-01,2024-08-01,Comoros,0
E739047,S196152,Mitsubishi,MachineOperator,69988,2021-11-19,2024-08-08,EquatorialGuinea,2
E547012,S918512,Coca-Cola,Librarian,68165,2021-09-22,2023-07-09,Egypt,0
E30212,S224101,UniversityofCaliforniaLosAngeles(UCLA),LabTechnician,64983,2018-05-01,2025-08-04,Dominica,1
E528539,S776434,Hitachi,DroneOperator,48175,2021-06-03,2025-11-29,Canada,1
E314492,S963250,UniversityofGlasgow,Paramedic,77681,2019-03-24,2024-01-11,Gabon,1
E534071,S500526,UniversityofWarwick,FreelanceWriter,57307,2020-05-28,2023-12-29,CostaRica,0
E85458,S426202,BMW,Pharmacist,78716,2021-01-26,2024-02-08,Gambia,1
E140674,S883208,Accenture,Firefighter,54511,2021-02-20,2025-08-04,Comoros,2
E315184,S272397,DHL,Mechanic,72544,2021-09-03,2023-08-01,Estonia,1
E879631,S54832,Santander,Microbiologist,73480,2021-06-18,2024-02-05,Eswatini,1
E72665,S55900,BMW,LogisticsManager,69554,2019-06-21,2025-09-18,ElSalvador,1
E84350,S424844,Siemens,RetailSalesAssociate,89438,2018-11-29,2025-05-31,Haiti,2
E405329,S792357,IKEA,DataAnalyst,41619,2022-10-18,2024-04-19,Bulgaria,2
E223190,S911752,SAP,CustomerServiceRepresentative,41368,2021-03-21,2023-11-21,Brunei,1
E216851,S967571,Tencent,PhysicalTherapist,80835,2022-11-01,2024-04-09,Germany,2
E686869,S735426,VireoWorksEngineering,Pilot,82282,2018-06-01,2023-08-22,Ghana,1
E552338,S896748,DHL,Pharmacist,78747,2019-11-19,2023-04-07,Gambia,1
E505064,S121429,NewYorkUniversity(NYU),Microbiologist,73501,2019-04-06,2024-04-01,Eswatini,0
E665950,S985677,JohnsHopkinsUniversity,FilmDirector,51705,2021-04-01,2024-01-31,China,2
E534611,S99240,UniversityofOslo,FreelanceWriter,56992,2018-02-20,2025-02-06,CostaRica,0
E229803,S30801,Volkswagen,Paramedic,78278,2021-08-30,2023-11-20,Gabon,0
